# directory.dat
#
# Anthony Grasso, Canon
# Sep., 2009
#
# This file describes the directory tree structure for the SVG 1.1 2nd Edition test suite
# this is a tab delimited file
# feilds are:
# section name, chapter or .section number, title
#
# Field 1, section name
# section names are 'chapter' and 'chapter-section'
# at the time of creation, chapter names were the same as the html names in the 1.0 spec.
# section names in the spec are too verbose to fit into the test file naming convention so they
# do not mirror the links in the spec.
# 
# Field 2, chapter or .section number
# chapters are numbered as integers, sections are preceded by a decimal to 
# differentiate them.
# The reason I did this was to avoid having a huge renumbering task in the event that
# there was a chapter added or deleted.
#
# Field 3, Title
# This is the title of the section as it appears in the spec.
#
intro	1	Introduction
painting-inherit	.8	Inheritance of painting properties	#InheritanceOfPaintingProperties
painting-dom	.9	DOM interfaces	#DOMInterfaces
color	12	Color
color-intro	.1	Introduction	#ColorIntroduction
color-prop	.2	The 'color' property	#ColorProperty
color-prof	.3	Color profile descriptions	#ColorProfileDescriptions
color-dom	.4	DOM interfaces	#DOMInterfaces
pservers	13	Gradients and Patterns
pservers-intro	.1	Introduction	#Introduction
pservers-grad	.2	Gradients	#Gradients
pservers-pattern	.3	Patterns	#Patterns
pservers-dom	.4	DOM interfaces	#DOMInterfaces
masking	14	Clipping, Masking and Compositing
masking-intro	.1	Introduction	#Introduction
masking-alpha	.2	Simple alpha compositing	#SimpleAlphaBlending
masking-path	.3	Clipping paths	#ClippingPaths
masking-mask	.4	Masking	#Masking
masking-opacity	.5	Object and group opacity: the 'opacity' property	#ObjectAndGroupOpacityProperties
masking-dom	.6	DOM interfaces	#DOMInterfaces
filters	15	Filter Effects
filters-intro	.1	Introduction	#Introduction
filters-example	.2	An example	#AnExample
filters-felem	.3	The 'filter' element	#FilterElement
filters-fprop	.4	The 'filter' property	#FilterProperty
filters-region	.5	Filter effects region	#FilterEffectsRegion
filters-bgnd	.6	Accessing the background image	#AccessingBackgroundImage
filters-overview	.7	Filter primitives overview	#FilterPrimitivesOverview
filters-light	.8	Light source elements and properties	#LightSourceDefinitions
filters-blend	.9	Filter primitive 'feBlend'	#feBlendElement
filters-color	.10	Filter primitive 'feColorMatrix'	#feColorMatrixElement
filters-comptran	.11	Filter primitive 'feComponentTransfer'	#feComponentTransferElement
filters-composite	.12	Filter primitive 'feComposite'	#feCompositeElement
filters-conv	.13	Filter primitive 'feConvolveMatrix'	#feConvolveMatrixElement
filters-diffuse	.14	Filter primitive 'feDiffuseLighting'	#feDiffuseLightingElement
filters-displace	.15	Filter primitive 'feDisplacementMap'	#feDisplacementMapElement
filters-flood	.16	Filter primitive 'feFlood'	#feFloodElement
filters-gauss	.17	Filter primitive 'feGaussianBlur'	#feGaussianBlurElement
filters-image	.18	Filter primitive 'feImage'	#feImageElement
filters-merge	.19	Filter primitive 'feMerge'	#feMergeElement
filters-morph	.20	Filter primitive 'feMorphology'	#feMorphologyElement
filters-offset	.21	Filter primitive 'feOffset'	#feOffsetElement
filters-specular	.22	Filter primitive 'feSpecularLighting'	#feSpecularLightingElement
filters-tile	.23	Filter primitive 'feTile'	#feTileElement
filters-turb	.24	Filter primitive 'feTurbulence'	#feTurbulenceElement
